market,order_region,mean_daily_sales
Africa,Eastern Africa,616.66
Africa,Middle Africa,589.22
Africa,Northern Africa,593.97
Africa,Southern Africa,575.61
Africa,Western Africa,600.96
Europe,Asiatic Russia/European Russia,620.87
Europe,Eastern Europe,593.1
Europe,Northern Europe,568.54
Europe,Southern Europe,610.59
Europe,Western Europe,605.12
Pacific Asia,Australia/New Zealand,595.23
Pacific Asia,Central Asia,609.96
Pacific Asia,Eastern Asia,580.45
Pacific Asia,Melanesia,557.93
Pacific Asia,Southeastern Asia,585.81
Pacific Asia,Southern Asia,579.29
Pacific Asia,Western Asia,583.84
USCA,Northern America,591.65
