market,order_region,mean_sales
Africa,Central Africa,195.4590439026364
Africa,East Africa,203.24988255793076
Africa,North Africa,195.30700455811407
Africa,Southern Africa,199.22042381322518
Africa,West Africa,197.33679136898127
Europe,Asiatic Russia,195.78572680836837
Europe,Eastern Europe,197.12674622466895
Europe,Northern Europe,173.7198184525926
Europe,Southern Europe,206.48392776651897
Europe,Western Europe,198.31493894344155
Pacific Asia,Australia/New Zealand,198.16620349006183
Pacific Asia,Central Asia,203.18110374794605
Pacific Asia,Eastern Asia,195.65258505714084
Pacific Asia,Oceania,195.2745040895
Pacific Asia,South Asia,195.82463432335095
Pacific Asia,Southeast Asia,197.42899575957836
Pacific Asia,West Asia,195.02822465404662
USCA,Northern America,197.8996699448378
USCA,South of  USA ,194.26055516942645
USCA,US Center ,195.5759764444357
USCA,West of USA ,196.5990193147484
